,postcode,lat,long,ageph_mean,ageph_median,ageph_std,bm_mean,bm_median,bm_std,power_mean,power_median,power_std,agec_mean,agec_median,agec_std,coverage_TPL_prop,coverage_TPL+_prop,sex_female_prop,fuel_diesel_prop,use_private_prop,fleet_0_prop,nclaims,expo,postcode_2
0,1000,50.84538646,4.355222995,45.44434931506849,44.0,14.227144442703738,5.575342465753424,5.0,4.735268489035316,56.409246575342465,54.0,19.536979199564176,7.885273972602739,8.0,4.375736119962145,0.5059931506849316,0.3373287671232877,0.2953767123287671,0.261986301369863,0.9263698630136986,0.9623287671232876,221,959.128767125,10
1,1030,50.86217265,4.374677092,44.224137931034484,41.0,14.073139943326428,5.926724137931035,6.0,4.664703382833243,55.02370689655172,52.0,18.150737603868407,8.147629310344827,8.0,4.251882606637752,0.5549568965517241,0.2984913793103448,0.2920258620689655,0.22844827586206898,0.9331896551724138,0.9827586206896551,184,738.339726027,10
2,1040,50.83332514,4.382733187,43.50812064965197,41.0,14.714628188945113,5.94431554524362,6.0,4.726634963369164,55.60092807424594,52.0,18.880983396539385,7.983758700696056,7.0,4.713386752275161,0.5127610208816705,0.31322505800464034,0.3271461716937355,0.21345707656612528,0.9559164733178654,0.9651972157772621,102,355.756164385,10
3,1050,50.82342261,4.369739504,44.88473520249221,42.0,14.823531405002933,5.58411214953271,5.0,4.642938365689346,58.55295950155763,53.0,24.92030039712428,7.716510903426792,7.0,4.46697100157345,0.4984423676012461,0.32087227414330216,0.34890965732087226,0.16822429906542055,0.942367601246106,0.9532710280373832,135,523.616438356,10
4,1060,50.83013431,4.332470753,42.93023255813954,39.0,13.664271641009144,6.343023255813954,7.0,4.70887854897129,55.53488372093023,50.0,20.530257936726922,8.101744186046512,8.0,4.210025156427258,0.5377906976744186,0.32558139534883723,0.2761627906976744,0.27906976744186046,0.9534883720930233,0.9680232558139535,81,279.945205478,10
5,1070,50.82951047,4.281105246,48.76346153846154,48.5,15.784454394062841,4.663461538461538,3.0,4.688179752544375,57.2375,55.0,18.742527224376552,7.332692307692308,7.0,4.042232354484399,0.4346153846153846,0.38846153846153847,0.25,0.2230769230769231,0.9625,0.9307692307692308,210,898.016438359,10
6,1080,50.85593359,4.30681574,47.298365122615806,47.0,15.652504519494846,4.877384196185286,4.0,4.826733842623409,59.205722070844686,55.0,19.11400192352383,7.419618528610354,7.0,4.325241989963517,0.4645776566757493,0.3801089918256131,0.2329700272479564,0.24795640326975477,0.9455040871934605,0.9359673024523161,163,622.3506849299999,10
7,1081,50.86393486,4.311177691,47.71875,46.0,16.40718946504039,4.421875,2.5,4.605045803289442,55.8515625,55.0,17.44737411993858,7.8046875,8.0,4.164073175796245,0.515625,0.296875,0.34375,0.2109375,0.9765625,0.96875,21,107.427397261,10
8,1082,50.86525618,4.282505246,46.46632124352332,46.0,14.294891112460364,4.0310880829015545,2.0,4.509142028229168,58.590673575129536,55.0,20.422447720537807,7.119170984455959,7.0,3.9490630925769867,0.44559585492227977,0.35233160621761656,0.32642487046632124,0.16062176165803108,0.9119170984455959,0.9533678756476683,30,164.106849313,10
9,1083,50.87502106,4.297369556,48.6457399103139,47.0,15.679075034326758,4.457399103139013,3.0,4.465758256832502,57.51569506726457,55.0,17.238874864946954,7.403587443946188,7.0,4.204071991118647,0.3632286995515695,0.4260089686098655,0.30493273542600896,0.21076233183856502,0.9641255605381166,0.9461883408071748,32,184.764383561,10
10,1090,50.88213981,4.309524898,47.256637168141594,45.0,14.373712616680091,4.121681415929204,2.0,4.453830042179497,58.39380530973451,55.0,19.684535482212468,6.865044247787611,7.0,3.984662307011757,0.4358407079646018,0.3915929203539823,0.28982300884955753,0.22123893805309736,0.9601769911504425,0.9513274336283186,70,374.791780821,10
11,1140,50.87063552,4.396736572,46.640449438202246,45.0,14.449545015290335,4.683146067415731,4.0,4.529762337774949,58.534831460674155,55.0,18.420067769947487,6.975280898876404,7.0,4.147811777888671,0.42247191011235957,0.34606741573033706,0.29213483146067415,0.27191011235955054,0.9258426966292135,0.946067415730337,76,363.115068491,11
12,1150,50.83178226,4.430986796,47.400977995110026,46.0,14.383255481874318,4.36919315403423,2.0,4.514478840391789,61.613691931540345,55.0,22.833850179772845,6.47677261613692,6.0,3.8488696264749236,0.36185819070904646,0.3594132029339853,0.35207823960880197,0.1687041564792176,0.9364303178484108,0.9584352078239609,64,339.361643835,11
13,1160,50.81081745,4.426312638,47.69461077844311,47.0,14.387896387612198,4.724550898203593,4.0,4.472357099553894,58.97005988023952,55.0,21.69856976222473,6.922155688622754,6.0,4.238383186516804,0.40718562874251496,0.3263473053892216,0.3413173652694611,0.18263473053892215,0.9311377245508982,0.9580838323353293,56,274.205479455,11
14,1170,50.79348151,4.411651388,48.99679487179487,47.0,15.485393677490235,4.467948717948718,3.0,4.507114592768374,57.41346153846154,55.0,22.09084309733171,6.891025641025641,6.0,3.95728595478742,0.38461538461538464,0.3525641025641026,0.36217948717948717,0.14102564102564102,0.9391025641025641,0.9358974358974359,57,269.34794521,11
15,1180,50.79023607,4.349552621,48.60095579450418,48.0,15.559529120567404,4.531660692951015,4.0,4.420267992865607,62.02628434886499,59.0,23.547250211375722,6.727598566308243,6.0,4.044887563142746,0.37992831541218636,0.37873357228195936,0.37037037037037035,0.15053763440860216,0.9056152927120669,0.9414575866188769,158,687.87945206,11
16,1190,50.81456073,4.312603678,47.04474708171206,44.0,14.785138923149944,5.071984435797665,5.0,4.647902244519679,57.68677042801556,55.0,21.25527431570086,7.607003891050583,8.0,3.9491442520591202,0.433852140077821,0.4085603112840467,0.34824902723735407,0.19455252918287938,0.9124513618677043,0.933852140077821,79,425.030136984,11
17,1200,50.84852775,4.419542409,45.529411764705884,43.0,14.101139917034851,4.776470588235294,4.0,4.538141869755257,56.93949579831933,55.0,19.489694326246845,7.021848739495798,6.0,4.098270138147299,0.44201680672268906,0.34789915966386553,0.36470588235294116,0.19663865546218487,0.9378151260504202,0.9630252100840336,108,482.660273963,12
18,1210,50.85426858,4.357765181,41.32167832167832,39.0,11.361909058124436,7.5174825174825175,9.0,4.5930951650401,57.06993006993007,51.0,21.528117987403874,8.986013986013987,9.0,4.194204609894726,0.6783216783216783,0.22377622377622378,0.24475524475524477,0.3006993006993007,0.951048951048951,0.986013986013986,42,112.78630137100001,12
19,1300,50.71610867,4.584655438,46.503144654088054,46.0,13.424332392130696,3.951781970649895,2.0,4.381946103028006,57.56394129979036,55.0,19.475976356058695,6.40461215932914,6.0,4.333984778635995,0.429769392033543,0.3333333333333333,0.36268343815513626,0.2662473794549266,0.9412997903563941,0.9706498951781971,72,383.873972599,13
20,1310,50.7367092,4.45293167,49.559633027522935,50.0,14.365874683416939,3.614678899082569,2.0,4.209575189442416,59.31192660550459,55.0,25.894621652248208,5.944954128440367,6.0,3.8892893342684194,0.3853211009174312,0.24770642201834864,0.3119266055045872,0.26605504587155965,0.8715596330275229,0.944954128440367,13,90.904109587,13
21,1315,50.69962485,4.769686394,48.583333333333336,47.5,15.188411803323765,2.75,1.0,3.8206619357277143,57.63333333333333,55.0,22.831710528335755,5.466666666666667,5.0,3.392247725737076,0.48333333333333334,0.26666666666666666,0.2833333333333333,0.4,0.9666666666666667,0.9833333333333333,13,48.320547944,13
22,1320,50.77677145,4.752426266,45.603960396039604,44.0,12.557132800062911,3.1485148514851486,1.0,4.17944048555273,57.08910891089109,55.0,21.104548803469353,6.554455445544554,5.0,4.56612581413336,0.504950495049505,0.297029702970297,0.31683168316831684,0.3564356435643564,0.9702970297029703,0.9504950495049505,16,82.205479453,13
23,1325,50.68756213,4.678745456,44.65972222222222,43.0,12.507431745700192,3.673611111111111,1.0,4.179252553226701,59.75694444444444,55.0,23.461394126831312,5.354166666666667,5.0,3.3936772761335834,0.3611111111111111,0.3402777777777778,0.4166666666666667,0.3125,0.9375,0.9583333333333334,19,116.232876711,13
